Entry No.,Size,Entry Date,Category,Marketing Group,Manufacturing Co.,SALE QTY,Current Stock(Unit1),Qty(Unit1),Vendor,Free Qty(Unit1),Amount,Product MRP,Product Purchase Rate
B842,  30,27/02/2024,Frock-Cotton <,GIRLS KIDS WEAR,Manish Dresses,1.0,0.0,1.0,Manish Dresses,0.0,0.0,0.0,0.0
B842,  32,27/02/2024,Frock-Cotton <,GIRLS KIDS WEAR,Manish Dresses,1.0,0.0,1.0,Manish Dresses,0.0,0.0,0.0,0.0
B841,  18,27/02/2024,Frock-Cotton <,GIRLS KIDS WEAR,Manish Dresses,0.0,1.0,1.0,Manish Dresses,0.0,0.0,0.0,0.0
B841,  20,27/02/2024,Frock-Cotton <,GIRLS KIDS WEAR,Manish Dresses,1.0,0.0,1.0,Manish Dresses,0.0,0.0,0.0,0.0
B841,  22,27/02/2024,Frock-Cotton <,GIRLS KIDS WEAR,Manish Dresses,0.0,1.0,1.0,Manish Dresses,0.0,0.0,0.0,0.0
B841,  24,27/02/2024,Frock-Cotton <,GIRLS KIDS WEAR,Manish Dresses,0.0,1.0,1.0,Manish Dresses,0.0,0.0,0.0,0.0
B841,  26,27/02/2024,Frock-Cotton <,GIRLS KIDS WEAR,Manish Dresses,0.0,1.0,1.0,Manish Dresses,0.0,0.0,0.0,0.0
B841,  28,27/02/2024,Frock-Cotton <,GIRLS KIDS WEAR,Manish Dresses,0.0,1.0,1.0,Manish Dresses,0.0,0.0,0.0,0.0
B841,  30,27/02/2024,Frock-Cotton <,GIRLS KIDS WEAR,Manish Dresses,0.0,1.0,1.0,Manish Dresses,0.0,0.0,0.0,0.0
B841,  32,27/02/2024,Frock-Cotton <,GIRLS KIDS WEAR,Manish Dresses,0.0,1.0,1.0,Manish Dresses,0.0,0.0,0.0,0.0
B841,  18,27/02/2024,Frock-Cotton <,GIRLS KIDS WEAR,Manish Dresses,1.0,0.0,1.0,Manish Dresses,0.0,0.0,0.0,0.0
B841,  20,27/02/2024,Frock-Cotton <,GIRLS KIDS WEAR,Manish Dresses,1.0,0.0,1.0,Manish Dresses,0.0,0.0,0.0,0.0
B841,  22,27/02/2024,Frock-Cotton <,GIRLS KIDS WEAR,Manish Dresses,0.0,1.0,1.0,Manish Dresses,0.0,0.0,0.0,0.0
B841,  24,27/02/2024,Frock-Cotton <,GIRLS KIDS WEAR,Manish Dresses,0.0,1.0,1.0,Manish Dresses,0.0,0.0,0.0,0.0
B841,  26,27/02/2024,Frock-Cotton <,GIRLS KIDS WEAR,Manish Dresses,0.0,1.0,1.0,Manish Dresses,0.0,0.0,0.0,0.0
B841,  28,27/02/2024,Frock-Cotton <,GIRLS KIDS WEAR,Manish Dresses,1.0,0.0,1.0,Manish Dresses,0.0,0.0,0.0,0.0
B841,  30,27/02/2024,Frock-Cotton <,GIRLS KIDS WEAR,Manish Dresses,1.0,0.0,1.0,Manish Dresses,0.0,0.0,0.0,0.0
B841,  32,27/02/2024,Frock-Cotton <,GIRLS KIDS WEAR,Manish Dresses,1.0,0.0,1.0,Manish Dresses,0.0,0.0,0.0,0.0
B820,  36,17/02/2024,Kurti(Bandi),GENTS WEAR,Manoj Chikan Centre,0.0,4.0,4.0,Manoj Chikan Centre,0.0,0.0,0.0,0.0
B820,  38,17/02/2024,Kurti(Bandi),GENTS WEAR,Manoj Chikan Centre,1.0,3.0,4.0,Manoj Chikan Centre,0.0,0.0,0.0,0.0
B820,  40,17/02/2024,Kurti(Bandi),GENTS WEAR,Manoj Chikan Centre,3.0,1.0,4.0,Manoj Chikan Centre,0.0,0.0,0.0,0.0
B820,  42,17/02/2024,Kurti(Bandi),GENTS WEAR,Manoj Chikan Centre,1.0,3.0,4.0,Manoj Chikan Centre,0.0,0.0,0.0,0.0
B820,  36,17/02/2024,Kurti(Bandi),GENTS WEAR,Manoj Chikan Centre,0.0,2.0,2.0,Manoj Chikan Centre,0.0,0.0,0.0,0.0
B820,  38,17/02/2024,Kurti(Bandi),GENTS WEAR,Manoj Chikan Centre,0.0,2.0,2.0,Manoj Chikan Centre,0.0,0.0,0.0,0.0
